title,organisation,lat,lon,region
Harris Road Landcare,Landcare Group in association with Kiwi Link HVA and Kiwi Coast Northland,-35.6835,174.3692,Northland
Pest Free Mangere Bridge,Friends of the Farm,-36.9458,174.78,Auckland
Atiwhakatu Valley Trapping Project,Holdsworth Volunteers,-40.8991,175.4643,Wellington
Motuoapa PF2050,Project Tongariro,-38.9323,175.8807,Unknown
Pan Pac Kaweka,Pan Pac Forest Products,-39.3669,176.3711,Unknown
Predator Free Khandallah Reserves,Predator Free Khandallah,-41.2456,174.7935,Wellington
Te Miro Pest Control Project,,-37.7922,175.5817,Waikato
Medlands LTD,,-36.268,175.5109,Unknown
Saint Catherines College Predator Free Project,Saint Catherines College,-41.3178,174.7927,Wellington
Lake Cameron,,-37.8552,175.3027,Waikato
Pest Free Piha,,-36.9521,174.4681,Auckland
Te Horo Natives,Te Horo Natives,-40.7874,175.099,Wellington
Makomako rat trap,,-41.3055,174.757,Wellington
Te Kura Kaupapa Māori o Ngā Mokopuna,Te Kura Kaupapa Māori o Ngā Mokopuna,-41.3209,174.8311,Wellington
Predator Free Wānaka - Private Land - PFW,Predator Free Wānaka,-44.7134,169.2065,Otago
Wild Aro,Wild Aro (Predator Free Wellington),-41.2953,174.7629,Wellington
Onepoto Domain Rat Control,Onepoto Residents Association,-36.8081,174.7507,Auckland
MacLester,MacLeod / Lester Families,-36.0504,174.4115,Northland
Onslow College Predator Free ,Onslow College,-41.2309,174.7972,Wellington
Pest Free Tawa College,Tawa College LIF101,-41.1657,174.8324,Wellington
Predator-free Tirohanga,Predator-free Tirohanga,-41.2004,174.9079,Wellington
5 Onehuka Rd,,-41.2005,174.9079,Wellington
Titoki Gully,Predator Free Taupo,-38.7123,176.0932,Unknown
Harvey Street Gully,Predator Free Taupo,-38.7063,176.0956,Unknown
Lake Whatuma,Lake Hatuma Trapping Group,-40.0305,176.5211,Unknown
Predator Free Grenada Village ,Predator Free Grenada Village ,-41.2031,174.8288,Wellington
Newlands College Pest Patrol,Papa Taiao,-41.2173,174.8243,Wellington
Summerhill Native Regeneration Project,Summerhill Community Group,-37.7594,176.2597,Waikato
Wai Tahurangi Wildlink,Blockhouse Bay Intermediate ,-36.9145,174.6921,Auckland
Te Ao Turoa Project (managed by E Tu Rongo Ma Tane),E Tu Rongo Ma Tane Hapū Ora Roopu,-38.7863,175.7254,Unknown
Wairere Pest eradication ,Mangaiti Gully restoration Trust,-37.743,175.2758,Waikato
Hukanui Pest Eradication,Mangaiti Gully Restoration Trust,-37.7404,175.2777,Waikato
Predator Free Northland (Wellington),,-41.2793,174.7594,Wellington
Totarabank ,Totarabank Residents Association,-41.0178,175.6668,Wellington
Predator Free Opawaho,Ōpāwaho Heathcote River Network,-43.5582,172.6489,Canterbury
Possum control,,-40.258,175.8688,Wellington
Possum control,,-40.258,175.8688,Wellington
Okuti Trap Network,Okuti Trap Network,-43.7842,172.8327,Canterbury
Upper Hutt Pinehaven,Forest & Bird Upper Hutt,-41.1654,175.0129,Wellington
WHS predator free,wellilngton high school,-41.3005,174.7758,Wellington
Predator Free Johnsonville,Predator Free Johnsonville,-41.2236,174.8018,Wellington
Codys Traps,Black Rabbit Farm,-44.611,169.2854,Otago
Pest Free Tawa,Pest Free Tawa,-41.1711,174.8258,Wellington
Aroha Island,Aroha Island Trust,-35.1926,174.0049,Northland
"Five Mile Bay, Taupo",Lynne Rose,-38.7545,176.0731,Unknown
"Birdlife, Centre of New Zealand","Birdlife, Centre of New Zealand",-41.2727,173.3026,Nelson Marlborough
Kaitake Ranges Conservation Trust,Kaitake Ranges ConservationTrust,-39.1642,173.9682,Unknown
Panpac Te Kowhai ,Pan Pac Forest Products,-39.3481,176.4909,Unknown
Predator Free Ohakune,Predator Free Ohakune,-39.4116,175.404,Unknown
Predator Free Paremata,Pest-free Paremata,-41.1068,174.8737,Wellington
Kerikeri - Maungaparerua Stream Landcare,Puketotara Landcare,-35.2325,173.8944,Northland
Prescott Rd Pest Control Group,Kiwi Coast,-35.9156,174.4109,Northland
1309 Otaki Gorge,Mckie Family,-40.8483,175.239,Wellington
TraplordzNZ,Traplordz NZ,-41.3071,174.7758,Wellington
Papa Taiao Trapping,Papa Taiao ,-41.0627,174.8494,Wellington
Predator Free Maketu and Little Waihi,Predator Free Maketu and Little Waihi,-37.7596,176.4604,Waikato
Kohatu Toa,Kohatu Toa Ecovillage,-36.1225,174.4274,Northland
Unsworth Reserve,Unsworth Reserve Volunteers,-36.7584,174.7176,Auckland
Restore Moturoa,,-39.0629,174.0406,Unknown
Restore Spotswood,,-39.0706,174.029,Unknown
Restore Hurdon,,-39.0926,174.0497,Unknown
Restore Ferndale,,-39.0884,174.0625,Unknown
Restore Fitzroy,Taranaki Regional Council,-39.044,174.1068,Unknown
Restore Waiwhakaiho,Taranaki Regional Council,-39.0462,174.1218,Unknown
Restore Glen Avon,Taranaki Regional Council,-39.0564,174.1105,Unknown
Restore Bell Block,Taranaki Regional Council,-39.0309,174.1554,Unknown
Restore Upper Vogeltown,Taranaki Regional Council,-39.0867,174.0863,Unknown
Restore Merrilands,Taranaki Regional Council,-39.0691,174.1037,Unknown
Restore Highlands Park,Taranaki Regional Council,-39.0867,174.1052,Unknown
Restore Strandon,Taranaki Regional Council,-39.0544,174.0962,Unknown
Restore Welbourn,Taranaki Regional Council,-39.07,174.0907,Unknown
Restore Brooklands,Taranaki Regional Council,-39.0725,174.0838,Unknown
Restore Frankleigh Park,,-39.0842,174.0704,Unknown
Restore Westown,,-39.0761,174.0586,Unknown
Restore Lynmouth,,-39.0655,174.0537,Unknown
Restore Blagdon,,-39.0693,174.042,Unknown
Restore Marfell,,-39.0741,174.0472,Unknown
Restore Whalers Gate,,-39.0914,174.0367,Unknown
Restore Ridgewood,,-39.098,174.0744,Unknown
Restore Vogeltown,Taranaki Regional Council,-39.0778,174.0799,Unknown
Restore Lower Vogeltown,Taranaki Regional Council,-39.0693,174.0751,Unknown
Restore New Plymouth Central,Taranaki Regional Council,-39.0588,174.0724,Unknown
Predator Free Waiu Park,Lower Hutt Branch Forest and Bird,-41.2495,174.9306,Wellington
Sunhill Scenic Reserve,Friends of Sunhill Scenic Reserve,-36.9,174.6441,Auckland
Predator Free Te Puke 2018,Predator Free Te Puke ,-37.8244,176.3218,Waikato
Waitara Taiao,Waitara Taiao & Taranaki Regional Council,-39.0033,174.2385,Unknown
Restore Okato,,-39.2009,173.8861,Unknown
Restore Oakura,,-39.1213,173.9452,Unknown
Restore Inglewood,,-39.1565,174.2019,Unknown
Restore Stratford,Taranaki Regional Council,-39.3398,174.2867,Unknown
Restore Eltham,,-39.4297,174.298,Unknown
Forest & Bird Manor Park Restoration Project,Lower Hutt Forest & Bird,-41.1465,174.9931,Wellington
Waikato River Corridor,Huka Trapping and Bike Taupo,-38.6379,176.1044,Waikato
Predator-free Spreydon,,-43.5564,172.621,Canterbury
Otari Predator Free,Otari Predator Free,-41.2693,174.7612,Wellington
Wildlife@Waiheke,Waiheke Collective,-36.7951,175.0938,Auckland
Wild About Te Atatu - Harbourview Orangihina Volunteer Predator Control & Monitoring,Community Waitakere,-36.8489,174.6585,Auckland
Waipaipai,None,-35.5672,174.4395,Northland
Haumer Project,Private landowner project,-36.7863,174.9839,Auckland
Waimangu Volcanic Valley ,Waimangu Volcanic Valley ,-38.2805,176.4034,Waikato
Restore Manaia,,-39.5458,174.1335,Unknown
Restore Opunake,,-39.45,173.8724,Unknown
Restore Pātea,,-39.7374,174.5044,Wellington
Restore Waverley,,-39.78,174.613,Wellington
Restore Egmont Village,,-39.1463,174.1526,Unknown
Restore Lepperton,,-39.0627,174.2053,Unknown
Restore Urenui,Taranaki Regional Council,-38.9903,174.4077,Unknown
Restore Onaero,,-39.0072,174.352,Unknown
Restore Midhirst,,-39.2887,174.2677,Unknown
Restore Kaponga,,-39.4346,174.1641,Unknown
Restore Normanby,,-39.5376,174.2671,Unknown
Restore Ohawe,,-39.5845,174.2033,Unknown
Restore Hāwera ,,-39.5889,174.2772,Unknown
"Rangatira Park Restoration Team, Taupo",Rangatira Park Community,-38.6742,176.0777,Waikato
Pear Tree Farm Pest Patrol,,-36.5242,174.6468,Auckland
Redpossum,,-43.5605,172.7343,Canterbury
Huatoki St ,,-39.0792,174.0753,Unknown
Titoki Gulley,Smith family,-39.8413,175.0133,Wellington
Predator Free Churton Park,Predator Free Churton Park,-41.2008,174.8065,Wellington
Shoal Bay Trap Network,,-36.3233,175.4945,Unknown
Woodleigh Nursery,Woodleigh Nursery,-39.0483,174.1969,Unknown
Tokaanu Hot Pools,DOC,-38.9691,175.7623,Unknown
Karamu Inventory,HBRC,-39.6452,176.8655,Unknown
Upper Hutt Silverstream,Forest & Bird Upper Hutt,-41.1502,175.0059,Wellington
Upper Hutt Heretaunga,Forest & Bird Upper Hutt,-41.1401,175.0213,Wellington
Upper Hutt Trentham,Forest & Bird Upper Hutt,-41.1374,175.046,Wellington
Upper Hutt Witako Ridge,Forest & Bird Upper Hutt,-41.1564,175.0303,Wellington
Upper Hutt Trentham Memorial Park,Forest & Bird Upper Hutt,-41.132,175.0296,Wellington
Mount Maunganui College,School,-37.6619,176.2073,Waikato
Omanawa Road ,May Farm,-37.8452,176.0813,Waikato
Predator Free Whiriwhiri,Predator Free Whiriwhiri,-37.2906,174.7082,Auckland
Predator Free Acacia Bay,Predator Free Taupo,-38.7112,176.019,Unknown
Ōmana Regional Park,Auckland Council,-36.8811,175.0209,Auckland
Parihaka Community Landcare,,-35.7145,174.3358,Northland
"Arthurs Point, Queenstown",Private Owner,-44.9887,168.6741,Otago
Kiwi North Pest Patrol,Kiwi North,-35.7414,174.2707,Northland
Predator Free Templeton,,-43.5508,172.4857,Canterbury
Predator Free Makara Beach,Makaracarpas Restoration Group,-41.222,174.7142,Wellington
"Predator Free Ranui, Porirua",Predator Free Ranui,-41.1488,174.8529,Wellington
Predator Free Moera,,-41.2312,174.9043,Wellington
Restore Tataraimaka,,-39.1581,173.9159,Unknown
Predator Free Port Hills - Tai Tapu (www.predatorfreeporthills.org.nz),"Predator Free Port Hills, part of the Summit Road Society",-43.6847,172.6024,Canterbury
Clutha river bank,,-44.6788,169.1863,Otago
Uhi Manuka / Carter's Scenic Reserve,Department of Conservation (DOC),-41.0638,175.6017,Wellington
Wild About Te Atatu – Kelvin Strand and Wetland,Community led group with support from Wild about Te Atatu and the Auckland Regional Council ,-36.8277,174.6532,Auckland
Katikati pest control,independent,-37.5402,175.9228,Waikato
Otahu Catchment Area Protection Project,The Friends of the Otahu Catchment Area Inc,-37.2802,175.8662,Waikato
Predator Free Woburn,,-41.219,174.9103,Wellington
Baywaters Lane at Wilson Bay,,-45.0598,168.5679,Otago
Settlement Hill,Forest and Bird,-46.466,169.6612,Otago
Restore Sentry Hill,,-39.0287,174.1955,Unknown
Mt Chocolate,,-46.4537,168.371,Otago
Te Maru Villas,Tainui Rest home,-39.0845,174.0498,Unknown
Rototuna,Ricky Scrragg,-36.2483,174.0361,Northland
Rototuna,Ricky Schraag,-36.2483,174.0361,Northland
Rongotai College Group ,Rongotai College,-41.3236,174.8004,Wellington
Northcross Reserve,Northcross Intermediate,-36.7163,174.7268,Auckland
Te Kura OTWAA,TOITOI MANAWA TRUST,-37.8134,177.6336,Bay of Plenty
Haumoana Tukituki PCA,Baytrap ltd,-39.6887,176.9981,Unknown
Waikino School Te ngāhere,Waikino School,-37.4097,175.7707,Waikato
Raetihi Holiday Park,Raetihi Holiday Park,-39.4304,175.2829,Unknown
Upper Waipoua Kaitiaki,Upper Waipoua Kaitiaki,-40.8098,175.5907,Wellington
Turangi Urban,Private,-38.9925,175.8163,Unknown
KiriKiri Traps,100% Positive Limited,-39.3188,176.9401,East Coast
Pixie Stream,Community Waitakere,-36.8536,174.6449,Auckland
Ngakuta Bay Community Trapping,Ngakuta Bay Community Association,-41.2785,173.9611,Nelson Marlborough
Kereru School,Kereru School,-39.656,176.4076,Wellington
Waikuku Estuary Trapping Group,,-43.272,172.7192,Canterbury
Whangarei Heads community traps,,-35.7665,174.395,Northland
Kapayapaan farm,,-37.8263,175.3126,Waikato
Peacock Home Traps,,-39.1206,173.9576,Unknown
Birds Delight,Gary and Lynda,-35.4597,174.1689,Northland
OBHP,Oakura Beach Holiday Park,-39.1177,173.9428,Unknown
Bowlands ,Falloon,-40.8682,175.8929,Wellington
Restore the Drop  + Fernbrook ,the Dam Drop Urban Bush  Renewal,-39.0908,174.0814,Unknown
Profile Farms,Profile Farms,-37.9805,175.6483,Waikato
Huatoki 218,,-39.0848,174.0787,Unknown
Predator Free Port Hills - Urumau Reserve and Port Saddle,Lyttelton Primary School and Lyttelton Reserves Management Committee,-43.6024,172.7307,Canterbury
Ruru Predator Free,,-42.579,171.5095,West Coast
Wildlife Haven,Ohautira Trappers,-37.8035,174.9776,Waikato
KNE Mangapuni,Landowner and TRC,-39.7385,174.8699,Wellington
Predator Free Puahuru - Shotover Country/Lake Hayes Estate,Predator Free Puahuru - Shotover Country/Lake Hayes Estate,-45.0016,168.8038,Otago
Tiaki,Sturgess,-39.1438,173.9316,Unknown
Protect Everett Park ,Private,-39.1182,174.2844,Unknown
"REDCLIFFS, THE HEIGHTS",PREDATOR FREE REDCLIFFS,-43.5703,172.7312,Canterbury
Doubtless Bay Landcare,Doubtless Bay Land Care,-34.9923,173.4668,Northland
Predator Free Broadmeadows,Predator Free Broadmeadows,-41.2351,174.7941,Wellington
Kev's Creek,Haymaghamys incorperated,-45.9015,170.4727,Otago
Adah Reserve Community Trapping Project (on hold),Community & Pest Free Kaipatiki,-36.7637,174.7237,Auckland
Karioi Project - Bait Lines,Karioi Project,-37.8454,174.8187,Waikato
Upper Hutt Mt Marua,Forest & Bird Upper Hutt,-41.1003,175.1221,Wellington
D.R Trappers,private group,-35.8767,174.4324,Northland
Torepatutahi Wetland Restoration,Epro Ltd,-38.4883,176.3296,Waikato
Phillips Whanau Trapping,Phillips Whanau,-39.1295,174.02,Unknown
Upper Hutt Tōtara Park,Forest & Bird Upper Hutt,-41.1082,175.0854,Wellington
Palmerston North ,,-40.3562,175.6112,Wellington
Mt Vernon Predator Free,Port Hills Park Trust,-43.5849,172.6686,Canterbury
Wairere Boulders,Wairere Boulders,-35.3753,173.605,Northland
Buffalo Biodiversity,Buffalo Biodiversity,-36.7386,175.5163,Auckland
Otaua School,Otaua School,-37.306,174.742,Auckland
Wainui-Mahinepua Whenua,Wainui Marae,-35.019,173.8527,Northland
Brackenfield,,-40.424,175.3293,Wellington
Greendale Reserve,Friends of the Greendale Resrve,-40.8873,175.0318,Wellington
Queenstown Hill Trapping,Predator Free Queenstown Hill,-45.0208,168.6829,Otago
Te Rae O Atiu,Hutton's Shearwater Charitable Trust,-42.4286,173.7027,Nelson Marlborough
Queenstown Hill Predator Monitoring,Predator Free Queenstown Hill,-45.0064,168.6975,Otago
"Mangorei Trappers, New Plymouth",Upper Mangorei Road community,-39.1584,174.0726,Unknown
Upper Hutt Te Marua,Pest Free Upper Hutt,-41.0908,175.1416,Wellington
SouthBay,Kaikoura Forest & Bird,-42.4187,173.6748,Nelson Marlborough
Gatekeepers Waitapu,M and M,-35.0525,173.7671,Northland
76a Old Hospital Road,Waimanu Lodge,-35.0474,173.7499,Northland
Lake Tarawera Residential ,Tarawera Landcare,-38.1844,176.392,Waikato
Upper Hutt Wallaceville,Pest Free Upper Hutt,-41.1298,175.0617,Wellington
Upper Hutt Akatarawa,Forest & Bird Upper Hutt,-41.014,175.1156,Wellington
Upper Hutt Brown Owl,Forest & Bird Upper Hutt,-41.1041,175.0961,Wellington
Korokoro Environmental Group,Korokoro Environmental Group,-41.2148,174.8684,Wellington
Upper Hutt Ebdentown,Forest & Bird Upper Hutt,-41.1206,175.0651,Wellington
Restore Huirangi,Mel and Jack Lane,-39.0318,174.2295,Unknown
"68 Hankey Street, Mt Cook, Predator Free",Predator Free Mt Cook,-41.3005,174.7716,Wellington
Awamoa Orchard,,-35.7341,174.2157,Northland
Mahana Hills,Stagecoach Road Pest Control and Native Restoration Group,-41.2425,173.0562,Nelson Marlborough
Predator Free Lyall Bay,Predator Free Lyall Bay,-41.3241,174.7951,Wellington
Lake Hayes Predator Free,Lake Hayes Predator Free,-44.9812,168.8076,Otago
Simons Road Possum trap ,Private ,-35.7609,174.1543,Northland
Vindictivemob predator control ,Vindictivemob predator control ,-35.2051,173.4209,Northland
Bowenvale Predator Free,Predator Free Port Hills - Bowenvale,-43.5774,172.6456,Canterbury
Thorrington Predator Free,Predator Free Thorrington,-43.5652,172.6366,Canterbury
Omahu Bush,Summit Road Society,-43.6636,172.614,Canterbury
Foxhill Farm predator control ,Private ,-38.0378,175.4893,Waikato
Wild Kiwi Girls,Wild Kiwi Girls,-35.1148,173.7421,Northland
Dallinghoe Crescent,,-36.7728,174.7589,Auckland
Glenbrook Peninsula,Predator Free Glenbrook,-37.1779,174.7453,Auckland
Farmers for Whio,Tasman Environmental Trust,-41.2003,172.8146,Nelson Marlborough
LOCA backyard trapping,Lake Okareka Community Association,-38.1685,176.3502,Waikato
Dotterels Aotea,Aotea Community,-38.0023,174.8018,Waikato
Upper Hutt Blue Mountains,Forest & Bird Upper Hutt,-41.1743,175.0284,Wellington
Upper Hutt Whitemans Valley,Forest & Bird Upper Hutt,-41.1846,175.0702,Wellington
Upper Hutt Riverstone,Forest & Bird Upper Hutt,-41.1123,175.0383,Wellington
RatkillerTee,,-37.8729,175.491,Waikato
Predator Free Maungaraki,Predator Free Maungaraki,-41.208,174.8782,Wellington
Blackpool Area Pest Project,Blackpool Residents Association,-36.7871,175.0121,Auckland
Cardrona Alpine Resort,,-44.8676,168.9661,Otago
Rapanui Grey-faced Petrel Colony,Rapanui Grey-faced Petrel Trust,-38.8021,174.5891,Unknown
KNEs Tongaporutu Grazing Co Bush & O'Sullivan Brothers,"Landowners, Taranaki Kiwi Trust and TRC",-38.9049,174.7239,Unknown
Waiongana/Tarurtangi ,Cover family trust,-39.1169,174.1995,Unknown
Tyndale School,Tyndale School,-36.9736,174.9225,Auckland
Manulife Waipu Forest - Kiwi predator control project (Piroa-Brynderwyn Landcare),Hancock Forest Management NZ Ltd,-36.0633,174.4742,Northland
Bring back the birds  (Coronet Peak),NZski Coronet Peak,-44.9228,168.7301,Otago
F&B: Totara,South Taranaki Forest and Bird,-39.4526,174.4446,Unknown
Predator Free Punakaiki,Predator Free Punakaiki,-42.1134,171.3312,West Coast
Ngararatunua Project,,-35.6707,174.2567,Northland
Whakaupoko Landcare,Whakaupoko Landcare,-37.2147,174.8117,Auckland
weka street wetlands,lily ramsay,-39.042,174.1112,Unknown
Katikara Eco Community ,,-39.224,173.972,Unknown
R W Tate Scenic Reserve,DOC,-41.0894,175.4644,Wellington
Ivy Bank Farm,,-41.1947,174.8268,Wellington
Waihi Beach pest control,Waihi Beach TOP 10 Holiday Resort,-37.412,175.9289,Waikato
Restore New Plymouth Reserves,"TRC, NPDC",-39.0617,174.0908,Unknown
Mistletoe Bay,Picton Dawn Chorus,-41.2238,173.97,Nelson Marlborough
Carlow Grove,Carlow Grove,-41.0945,175.107,Wellington
Harkness Rice Way,Rob Moorby,-39.1318,174.0027,Unknown
Palmer Mill Predator Free ,Neighbourhood Group under Predator Free Taupo,-38.5877,176.094,Waikato
saige mangawarawara  stream trap,,-39.1521,174.1311,Unknown
mangawarawara,,-39.1489,174.1351,Unknown
Paekawakawa Pest Patrol,Island Bay Natural Heritage Trust,-41.3363,174.7692,Wellington
Pukeiti,Taranaki Regional Council,-39.1957,173.9838,Unknown
Mounganui Station Predator Control ,,-39.5215,175.8489,Wellington
Flagstaff,Waipu Kiwis,-35.988,174.4622,Northland
Cat-Ass-Trophy,Ruakaka School,-35.8987,174.4405,Northland
Lowe KNE projects,M & C Lowe,-39.2258,174.538,Unknown
Bothamley Park,Aotea Conservation Volunteers,-41.1306,174.8649,Wellington
"Upper Hutt, Holdsworth Ave",,-41.1292,175.0314,Wellington
Upper Hutt Katherine Mansfield Valley,Forest & Bird Upper Hutt,-41.155,175.0658,Wellington
Upper Hutt Mangaroa,Forest & Bird Upper Hutt,-41.1315,175.12,Wellington
Predator Free Thorndon,Predator Free Thorndon,-41.2725,174.7742,Wellington
501 Makara Road,Prue Poata,-41.2613,174.7051,Wellington
Brett,,-44.7244,169.1572,Otago
Makahuri ,Makahuri,-40.8168,175.1039,Wellington
Wakatipu High School Predator Free ,Wakatipu High School,-45.0206,168.7583,Otago
Remarkables Kea Conservation,NZSki,-45.0415,168.7973,Otago
Pamu-Takakuri ,Pamu farms in conjunction with Kiwicoast and NRC,-35.1237,173.6655,Northland
Taputeranga Ratbusters ,Part of Predator Free Wellington and connected to Forest and Bird (Places for Penguins) project.,-41.3496,174.7731,Wellington
Corbett Road,,-35.5582,174.2695,Northland
Verran's Gully South Predator Control Project,Pest Free Kaipatiki,-36.8066,174.7124,Auckland
Purua CPCA,,-35.6413,174.1033,Northland
Restore Lower Saxton Road,Local,-39.0898,174.0908,Unknown
Waihoihoi  Kaitiaki (Li),Waipu Kiwis,-36.0592,174.429,Northland
Bat homes in Mangaiti gully,Mangaiti Gully Restoration Trust,-37.7378,175.2777,Waikato
Kahuterawa Bush Remnant,,-40.4155,175.597,Wellington
Dotterel Defenders Te Tuahu,"Sandy Bay Society, Taranaki Conservationists, DOC, Te Kāhui o Taranaki Iwi",-39.4013,173.7905,Unknown
Milford Lagoon South Bank,,-44.2701,171.3511,West Coast
Jacks Bay,Forest And Bird South Otago,-46.4922,169.7119,Otago
Puriridale Pitiless Pest Persecution Project,,-35.1846,173.8389,Northland
Taronui Pest Control Area,Kiwi Coast,-35.1315,173.9816,Northland
Ahuriri Scrape Lake,,-39.4801,176.8754,East Coast
Whakatipu Mahia,,-39.1525,177.899,East Coast
Taranaki Kiwi Trust - TPoT,Taranaki Kiwi Trust,-39.2663,174.0677,Unknown
Hastings Golf Club,Hastings Golf Club,-39.6487,176.772,Unknown
Morepork Valley Conservation Crew,Morepork Valley Conservation Crew,-35.5104,174.3394,Northland
Huia Trapping Group,Huia Trapping Group,-36.991,174.5833,Auckland
Predator Free Martinborough,Predator Free Martinborough,-41.248,175.4552,Wellington
Driving Creek Railway,Driving Creek Railway Trust,-36.7361,175.5076,Auckland
"Retreat Rd Trappers, Paihia",Kiwi Coast,-35.2972,174.0086,Northland
Howick College Trapping Programme,Howick College Trapping Programme,-36.9153,174.9429,Auckland
Upper Hutt Maymorn,Linked to F & B Upper Hutt.,-41.1102,175.1294,Wellington
Bluff Hill Motupōhue Environment Trust,Bluff Hill Motupōhue Environment Trust,-46.5833,168.3179,Southland
Ziptrek's Safe Haven,Ziptrek Ecotours,-45.028,168.648,Otago
Tutukaka Community Traps,TLC,-35.5714,174.4187,Northland
Paraparaumu Scenic Reserve Stoat Traps,Local Volunteers supported by DOC,-40.911,175.0415,Wellington
Mauao Pest Control,,-37.6303,176.1716,Waikato
Makararo Stream,CHB Forest n Bird,-39.7191,176.2182,Wellington
South-East Wildlink,Forest and Bird,-36.9952,174.976,Auckland
Clark Family Trust,,-36.161,174.6441,Northland
Stratford Power Station,Contact Energy,-39.3311,174.319,Unknown
Tiakina Whangarei,,-35.7262,174.3202,Northland
Mangatoro Bush,Roughly Organized,-40.341,176.1544,Wellington
Haddon Hill ,,-36.8031,175.7078,Unknown
Kowhai reserve,,-40.6054,175.3337,Wellington
Predator Free Clyde,Making a Difference for Central Otago,-45.2178,169.337,Otago
Avondale,Econode,-36.8959,174.7017,Auckland
Naenae Nature Trust - Wesley Rātā Village predator control,Naenae Nature Trust,-41.2036,174.9739,Wellington
Mahuhukiterangi,Mahurangi College,-36.4049,174.6535,Northland
Kell Park Albany Auckland,Auckland Council,-36.7252,174.6935,Auckland
Pupu Rangi CPCA,Pupu Rangi CPCA,-35.6817,173.6758,Northland
Restore Raetihi,Volunteer ,-39.4352,175.2852,Unknown
Restore Tikorangi,,-39.0334,174.3061,Unknown
Millington Road Kiwi Group,Millington Road Kiwi Group,-35.7312,174.2437,Northland
Hellyers Creek Coastal Track,,-36.7847,174.6944,Auckland
Lake View Estate,,-36.1512,174.5584,Northland
Ball's Clearing (on behalf of DOC),Private individual,-39.2694,176.5008,East Coast
Whakaipo Bay,Predator Free Taupo,-38.6907,175.9661,Waikato
Predator Free Waitahanui,Predator Free Waitahanui - Project Tongariro,-38.7905,176.0774,Unknown
Coster Kids,,-39.0583,174.164,Unknown
Upper Hutt Kaitoke,Forest & Bird Upper Hutt,-41.0795,175.2038,Wellington
Predator free Mt Cook Newtown Berhampore Reserves,Predator free Mt Cook Newtown Berhampore Reserves,-41.3197,174.7794,Wellington
Chain Hills Restoration Project,,-45.8868,170.3907,Otago
Predator Free Sweetacres Belmont,Predator Free Sweetacres Belmont,-41.1878,174.9072,Wellington
oogamblau Trapping,oogamblau trapping,-39.1416,174.0294,Unknown
Waterloo,,-41.2168,174.9338,Wellington
Kohumaru Landcare Pest Control,Heart Kohumaru,-35.0873,173.5662,Northland
Yarrs Flat ,Sewlyn District Council,-43.7193,172.4689,Canterbury
Naenae Nature Trust - Community predator control,Naenae Nature Trust,-41.2027,174.9532,Wellington
Links Predator Free,Links Homeowners Society,-39.0367,174.1277,Unknown
Waiwera Valley,Waiwera Valley Association,-36.5502,174.6287,Auckland
Katikati Pests,"Katikati College, Year 13 Environmental Studies",-37.5381,175.9171,Waikato
CCVC Te Kopahou,Cross Country Vehicle Club,-41.3434,174.7294,Wellington
Predator Free Whanganui Urban,Sustainable Whanganui,-39.9288,175.0361,Wellington
Parkwood Trapping Project,Stokes Pest Control,-41.1339,175.0348,Wellington
Holborn - Stokes Valley,,-41.1621,174.9786,Wellington
Pestfree Waipara,,-43.0598,172.7554,Canterbury
12 Biology Onslow College Fauna Monitoring,Onslow College,-41.232,174.796,Wellington
Ihaia Track ,Opunake High School,-39.3319,173.9868,Unknown
Eastside Predator-Free,Tatau Pounamu,-38.1195,176.3125,Waikato
Waiuku College,Waiuku College,-37.2507,174.7257,Auckland
Predator Free Castor Bay,Castor Bay Residents and Ratepayers Association,-36.7606,174.7622,Auckland
"Two Mile Ck, Karoro",Bob McQuarrie,-42.4739,171.1963,West Coast
Purerua Pest Control Area,Kiwi Coast,-35.1491,174.062,Northland
Pamu Kapiro,Pamu-Landcorp NZ,-35.1539,173.9312,Northland
Pungaere Rd RF Karinae Rd,Kiwi Coast,-35.1998,173.8745,Northland
Upper Hutt Maoribank + Timberlea,Forest & Bird Upper Hutt,-41.1058,175.1044,Wellington
80,you,-41.2149,174.9241,Wellington
Predator Free Aotea,Predator Free Aotea,-41.1281,174.8585,Wellington
Mt Barker Residents Association Trap Library,Mt Barker Residents Association,-44.7323,169.1881,Otago
Kelburn Village,,-41.2887,174.7614,Wellington
Catchin rats in Moturoa ,,-39.0626,174.0327,Unknown
Karekare Landcare,Karekare Landcare,-36.9916,174.4992,Auckland
Tracking tunnels,Mangaiti Gully Restoration Trust,-37.7391,175.2801,Waikato
Sutton Rat Removal Regime,Private,-39.0913,174.0042,Unknown
Predator Free Wainuiomata,Predator Free Wainuiomata,-41.281,174.9466,Wellington
Ashworth Beach Ponds,Predator free and native,-43.234,172.7404,Canterbury
Kaiuma Bay Pest Control,Kaiuma Bay Community Group,-41.2383,173.8059,Nelson Marlborough
Pest Control Taraunui,Private,-35.7415,174.4698,Northland
Upper Hutt Clouston Park,Forest & Bird Upper Hutt,-41.1173,175.0882,Wellington
Hiwitahi,Walker Family ,-36.161,175.4373,Unknown
Mustelid & Rat free Atkinson Road - Personal Traps,Hills valley ,-39.1028,174.0806,Unknown
Parrs Rd Pest Control,,-39.1122,174.0681,Unknown
Rodent Catchers Kapiti,"Kapiti Retirement Trust, Paraparaumu.",-40.8973,174.9898,Wellington
